################Inventions_colorcoding_mobilisation_size_(§R);;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,
mobilisation_size;§RMobilisation Size;;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,
railroad_transport_groups;§RRailroad Transport Groups;;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,
staff_command_support;§RStaff Command Support;;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,
mobilization_time_tables;§RMobilization Time Tables;;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,
personnel_category_tables;§RPersonnel Category Tables;;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,
total_war_mobilisation;§RTotal War Mobilisation;;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,
improved_railroad_mobilisation_timetables;§RImproved Railroad Mobilisation Timetables;;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,
railroad_mobilisation_timetables;§RRailroad Mobilisation Timetables;;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,
levee_en_masse;§RLevée en Masse;;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,
################Inventions_colorcoding_RGO_boost(§B);;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,
tractors;§BTractors;;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,
machine_tools;§BMachine Tools;;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,
nitroglycerin;§BNitroglycerin;;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,
electrical_lighting;§BElectrical Lighting;;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,
distribution_channels;§BDistribution Channels;;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,
papua_actcom_title;Enact Papua Act;;;;;;;;;;;;;x;;;;;;;;;;;,,,,,,,,,,,,,,,,
papua_actcom_desc;Interest in the island of New Guinea by the British settlers in Australia began by the mid-nineteenth century. British traders established a port and settlement at Port Moresby in 1875. The Colony of Queensland subsequently issued an unrecognized annexation proclamation. One of the early acts of the newly formed federation of Australia was to pass legislation transferring the southern parts of New Guinea to direct Australian Rule. Port Moresby became the administrative capital.;;;;;;;;;;;;;x;;;;;;;;;;;,,,,,,,,,,,,,,,,
cavours_diplomacyita_title;Cavour's Diplomacy;La diplomatie de Cavour;Cavours Diplomatie;;Diplomacia de Cavour;;;;;;;;;x;,,,,,,,,,,,,,,,,
cavours_diplomacyita_desc;Camillo Paolo Filippo Giulio Benso, Count of Cavour, Prime Minister of The Kingdom of Sardinia, was a leading figure in the movement for Italian Unification, and his personal efforts at diplomacy are often credited with securing the support of Napoleon III's France against Austria in the Second Italian War of Independence.;Camillo Paolo Filippo Giulio Benso, comte de Cavour, premier ministre du Royaume de Sardaigne, fut une figure marquante du mouvement pour une Italie unifiée. Il joua un rôle diplomatique déterminant dans le soutien de la France de Napoléon III contre l'Autriche lors de la seconde guerre d'indépendance italienne.;Camillo Paolo Filippo Giulio Benso, Graf von Cavour, Premierminister des Königreichs Sardinien, war ein führender Kopf der italienischen Vereinigungsbewegung. Hinsichtlich seiner persönlichen diplomatischen Errungenschaften wird oft erwähnt, dass er Italien im zweiten italienischen Unabhängigkeitskrieg gegen Österreich die Unterstützung von Frankreich unter Napoleon III. sicherte.;;Camillo Benso, Conde de Cavour, primer ministro del reino de Cerdeña fue una figura destacada del movimiento por la unificación de Italia, y a sus esfuerzos personales en diplomacia se le suelen atribuir el haber conseguido el apoyo de la Francia de Napoleón III contra Austria en la Segunda Guerra de Independencia Italiana.;;;;;;;;;x;,,
diplomacy_points_title;Diplomacy Points;;;;;;;;;;;;;x;;;;;;;;;;;,,,,,,,,,,,,,,,,
diplomacy_points_desc;Grants a modifer that replenishes the highest possible amount of diplo points per month (Only on month ticks);;;;;;;;;;;;;x;;;;;;;;;;;,,,,,,,,,,,,,,,,
killswitch_inflation_system_title;Killswitch Inflation System;;;;;;;;;;;;;x;;;;;;;;;;;,,,,,,,,,,,,,,,,
killswitch_inflation_system_desc;Triggers a killswitch for the deflation mechanic;;;;;;;;;;;;;x;;;;;;;;;;;,,,,,,,,,,,,,,,,
diplomacy_points;Diplomacy Points;;;;;;;;;;;;;x;;;;;;;;;;;,,,,,,,,,,,,,,,,
PRU_575;Nordrhein;;;;;;;;;;;;;;;;;;;;;;;;;;;,,,,,,,,,,,,,,,,
form_germany_austria_title;Three Hurrahs For Germany! @GER;;;;;;;;;;;;;;;;;;;;;;;;x;;;;,,,,,,,,,,,,,,,,
form_germany_austria_desc;By controlling directly or indirectly the manifold principalities duchies and free cities that make up the German Nation we can unite our people into one singular nation state. Three Hurrahs for the German Empire!;;;;;;;;;;;;;;;;;;;;;;;x;;;;,,,,,,,,,,,,,,,,
custom_national_focus;§GCustom National Focus Unlock;;;;;;;;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,
custom_national_focus_desc;§GCustom National Focus Unlock;;;;;;;;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,
################China treatyports;;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,
BEI_ADJ;Chinese;Chinese;Chinese;;;;;;;;;;;x;,,,,,,,,,,,,,,,,
BEI;Guangzhouwan Economic Area;Guangzhouwan Economic Area;Guangzhouwan Economic Area;;;;;;;;;;;x;,,,,,,,,,,,,,,,,
